product_name,brand,price,discount_price,img_url,quantity,category,sub_category,absolute_url
Unsweetened Peanut Butter,Jus Amazin,400.0,299.0,https://www.bigbasket.com/media/uploads/p/l/40180378_3-jus-amazin-organic-peanut-butter-unsweetened.jpg,500 g,Gourmet & World Food,"Chocolate, Peanut Spread",https://www.bigbasket.com/pd/40180378/jus-amazin-organic-peanut-butter-unsweetened-500-g-jar/
"Fruit Drink - Juicy Apple, With The Goodness Of Malt",Sante,60.0,45.0,https://www.bigbasket.com/media/uploads/p/l/40225929_1-sante-fruit-drink-juicy-apple-with-the-goodness-of-malt.jpg,250 ml,Gourmet & World Food,"Non-Alcoholic Beer, Wine",https://www.bigbasket.com/pd/40225929/sante-fruit-drink-juicy-apple-with-the-goodness-of-malt-250-ml/
"Super Food Millet Mexican Salsa Khichdi - Ready To Cook, Rich In Protein",Fortune ,65.0,48.75,https://www.bigbasket.com/media/uploads/p/l/40245928_1-fortune-superfood-millet-mexican-salsa-khichdi-enriched-with-5-grains-protein-rich-healthy.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40245928/fortune-superfood-millet-mexican-salsa-khichdi-enriched-with-5-grains-protein-rich-healthy-200-g-pouch/
Kurva Boiled Rice,BB Royal,600.0,455.0,https://www.bigbasket.com/media/uploads/p/l/40169837_4-bb-royal-kurva-boiled-rice.jpg,10 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40169837/bb-royal-kurva-boiled-rice-10-kg-bag/
Kurva Boiled Rice,BB Royal,1500.0,1090.0,https://www.bigbasket.com/media/uploads/p/l/40169838_4-bb-royal-kurva-boiled-rice.jpg,25 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40169838/bb-royal-kurva-boiled-rice-25-kg-bag/
Rasna insta-promo-pack-mixed-fruit 500 g,Rasna,150.0,112.5,https://www.bigbasket.com/media/uploads/p/l/40120161_2-rasna-insta-promo-pack-mixed-fruit.jpg,500 g,Beverages,Syrups & Concentrates,https://www.bigbasket.com/pd/40120161/rasna-insta-promo-pack-mixed-fruit-500-g/
Coconut Flour,Nutty Yogi,299.0,299.0,https://www.bigbasket.com/media/uploads/p/l/40161966_1-nutty-yogi-coconut-flour.jpg,500 g,Gourmet & World Food,Flours & Pre-Mixes,https://www.bigbasket.com/pd/40161966/nutty-yogi-coconut-flour-500-g/
Turmeric Green Tea - Provides Glowing Skin & Boosts Immunity,Teamonk,400.0,240.0,https://www.bigbasket.com/media/uploads/p/l/40162558_1-teamonk-turmeric-green-tea.jpg,100 g,Beverages,Exotic & Flavoured Tea,https://www.bigbasket.com/pd/40162558/teamonk-turmeric-green-tea-100-g/
Vedic Suraksha Green Tea,Dabur,175.0,175.0,https://www.bigbasket.com/media/uploads/p/l/40199095_1-dabur-vedic-suraksha-green-tea.jpg,37.5 g,Beverages,Green Tea,https://www.bigbasket.com/pd/40199095/dabur-vedic-suraksha-green-tea-375-g/
Shahi Garam Masala - With Exotic Spices,Aashirvaad,90.0,67.5,https://www.bigbasket.com/media/uploads/p/l/40200515_5-aashirvaad-shahi-garam-masala.jpg,100 g,"Foodgrains, Oil & Masala",Blended Masalas,https://www.bigbasket.com/pd/40200515/aashirvaad-shahi-garam-masala-100-g/
English Short Bread - Vanilla,Fresho Signature,149.0,109.0,https://www.bigbasket.com/media/uploads/p/l/40055536_5-fresho-signature-english-short-bread-vanilla.jpg,150 g,"Bakery, Cakes & Dairy",Premium Cookies,https://www.bigbasket.com/pd/40055536/fresho-signature-english-short-bread-vanilla-150-g/
Darjeeling Summer Second FlushBlack Tea,VAHDAM,250.0,175.0,https://www.bigbasket.com/media/uploads/p/l/40142516_2-vahdam-organic-premium-darjeeling-black-tea-bags-single-estates-second-flush.jpg,30 g,Beverages,Leaf & Dust Tea,https://www.bigbasket.com/pd/40142516/vahdam-organic-premium-darjeeling-black-tea-bags-single-estates-second-flush-30-g/
Organic Sweet Himalayan Long Leaf Green Tea,VAHDAM,225.0,168.75,https://www.bigbasket.com/media/uploads/p/l/40142519_2-vahdam-organic-sweet-himalayan-green-tea-bags-with-ashwagandha.jpg,30 g,Beverages,Leaf & Dust Tea,https://www.bigbasket.com/pd/40142519/vahdam-organic-sweet-himalayan-green-tea-bags-with-ashwagandha-30-g/
Organic Vanilla Spiced Long Leaf Chai,VAHDAM,200.0,150.0,https://www.bigbasket.com/media/uploads/p/l/40142523_2-vahdam-organic-vanilla-spiced-chai-tea-bags-unique-blend.jpg,30 g,Beverages,Leaf & Dust Tea,https://www.bigbasket.com/pd/40142523/vahdam-organic-vanilla-spiced-chai-tea-bags-unique-blend-30-g/
Glow Assorted Loose Leaf Tea,VAHDAM,1995.0,1296.75,https://www.bigbasket.com/media/uploads/p/l/40142528_1-vahdam-glow-assorted-loose-leaf-tea.jpg,20 g,Beverages,Leaf & Dust Tea,https://www.bigbasket.com/pd/40142528/vahdam-glow-assorted-loose-leaf-tea-20-g-tin-caddy/
Nature's Super Foods Organic Urad Dal Split/Uddina Bele,Aashirvaad,140.0,126.0,https://www.bigbasket.com/media/uploads/p/l/40202028_2-aashirvaad-natures-super-foods-organic-urad-dal.jpg,500 g,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40202028/aashirvaad-natures-super-foods-organic-urad-dal-500-g/
"Almond - Promotes Weight Loss, Rich In Vitamin E",Natureland Organics,470.0,352.5,https://www.bigbasket.com/media/uploads/p/l/40261309_1-natureland-organics-almond-promotes-weight-loss-rich-in-vitamin-e.jpg,250 g,"Foodgrains, Oil & Masala",Organic Dry Fruits,https://www.bigbasket.com/pd/40261309/natureland-organics-almond-promotes-weight-loss-rich-in-vitamin-e-250-g/
Black Pepper Kali Mirch - 100% Natural,Natureland Organics,190.0,142.5,https://www.bigbasket.com/media/uploads/p/l/40261311_1-natureland-organics-black-pepper-kali-mirch-100-natural.jpg,100 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40261311/natureland-organics-black-pepper-kali-mirch-100-natural-100-g/
Cashew - Prevents Heart Problems,Natureland Organics,419.0,314.25,https://www.bigbasket.com/media/uploads/p/l/40261312_1-natureland-organics-cashew-prevents-heart-problems.jpg,200 g,"Foodgrains, Oil & Masala",Organic Dry Fruits,https://www.bigbasket.com/pd/40261312/natureland-organics-cashew-prevents-heart-problems-200-g/
Chana Besan - Best For Indian Snacks & Dishes,Natureland Organics,95.0,71.25,https://www.bigbasket.com/media/uploads/p/l/40261313_1-natureland-organics-chana-besan-best-for-indian-snacks-dishes.jpg,500 g,"Foodgrains, Oil & Masala",Organic Flours,https://www.bigbasket.com/pd/40261313/natureland-organics-chana-besan-best-for-indian-snacks-dishes-500-g/
Chana Dal - Helps Lower Cholesterol,Natureland Organics,165.0,123.75,https://www.bigbasket.com/media/uploads/p/l/40261314_1-natureland-organics-chana-dal-helps-lower-cholesterol.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261314/natureland-organics-chana-dal-helps-lower-cholesterol-1-kg/
Organic Raw Virgin Coconut Oil - Healthiest Oil In The World,Natureland Organics,340.0,255.0,https://www.bigbasket.com/media/uploads/p/l/40261315_1-natureland-organics-organic-raw-virgin-coconut-oil-healthiest-oil-in-the-world.jpg,400 ml,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40261315/natureland-organics-organic-raw-virgin-coconut-oil-healthiest-oil-in-the-world-400-ml/
Cumin Whole Jeera Sabut - 100% Natural,Natureland Organics,170.0,127.5,https://www.bigbasket.com/media/uploads/p/l/40261316_1-natureland-organics-cumin-whole-jeera-sabut-100-natural.jpg,250 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40261316/natureland-organics-cumin-whole-jeera-sabut-100-natural-250-g/
"Himalayan Pink Rock Salt - For Daily Use, No Chemicals",Natureland Organics,98.0,73.5,https://www.bigbasket.com/media/uploads/p/l/40261317_1-natureland-organics-himalayan-pink-rock-salt-for-daily-use-no-chemicals.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40261317/natureland-organics-himalayan-pink-rock-salt-for-daily-use-no-chemicals-1-kg/
"Kabuli Chana - Rich In Fibre, Reduces Cholesterol",Natureland Organics,113.0,84.75,https://www.bigbasket.com/media/uploads/p/l/40261319_1-natureland-organics-kabuli-chana-rich-in-fibre-reduces-cholesterol.jpg,500 g,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261319/natureland-organics-kabuli-chana-rich-in-fibre-reduces-cholesterol-500-g/
Moong Whole - High Nutritional Value & Rich In Protein,Natureland Organics,240.0,180.0,https://www.bigbasket.com/media/uploads/p/l/40261320_1-natureland-organics-moong-whole-high-nutritional-value-rich-in-protein.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261320/natureland-organics-moong-whole-high-nutritional-value-rich-in-protein-1-kg/
"Mustard Seeds - Black, Rich In Omega 3",Natureland Organics,45.0,33.75,https://www.bigbasket.com/media/uploads/p/l/40261321_1-natureland-organics-mustard-seeds-black-rich-in-omega-3.jpg,150 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40261321/natureland-organics-mustard-seeds-black-rich-in-omega-3-150-g/
"Mustard Oil - Cold Pressed, Pure Kachi Ghani, 100% Natural",Natureland Organics,1600.0,1200.0,https://www.bigbasket.com/media/uploads/p/l/40261322_1-natureland-organics-mustard-oil-cold-pressed-pure-kachi-ghani-100-natural.jpg,5 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40261322/natureland-organics-mustard-oil-cold-pressed-pure-kachi-ghani-100-natural-5-l/
Wheat Dalia - Low In Fat & Calories,Natureland Organics,54.0,40.5,https://www.bigbasket.com/media/uploads/p/l/40261327_1-natureland-organics-wheat-dalia-low-in-fat-calories.jpg,500 g,"Foodgrains, Oil & Masala",Organic Flours,https://www.bigbasket.com/pd/40261327/natureland-organics-wheat-dalia-low-in-fat-calories-500-g/
Belgian Chocolate Cake Mix,The Baker's Dozen,350.0,210.0,https://www.bigbasket.com/media/uploads/p/l/40203029_2-the-bakers-dozen-belgian-chocolate-cake-mix.jpg,400 g,"Bakery, Cakes & Dairy",Tea Cakes & Slice Cakes,https://www.bigbasket.com/pd/40203029/the-bakers-dozen-belgian-chocolate-cake-mix-400-g/
"Butter Cashew Cookies - Mild, Nutty Flavour",CookieMan,220.0,165.0,https://www.bigbasket.com/media/uploads/p/l/40266606_1-cookieman-butter-cashew-cookies-fresh-baked-australian.jpg,150 g,"Bakery, Cakes & Dairy","Bakery Biscuits, Cookies",https://www.bigbasket.com/pd/40266606/cookieman-butter-cashew-cookies-fresh-baked-australian-150-g/
Double Choco Chip Cookies - Soft Brownie-Like Centres & Chewy Edges,CookieMan,199.0,149.25,https://www.bigbasket.com/media/uploads/p/l/40266608_1-cookieman-double-choco-chip-cookies-fresh-baked-australian.jpg,150 g,"Bakery, Cakes & Dairy","Bakery Biscuits, Cookies",https://www.bigbasket.com/pd/40266608/cookieman-double-choco-chip-cookies-fresh-baked-australian-150-g/
Premium Wafer Bites - Tiramisu,Tasties,85.0,49.0,https://www.bigbasket.com/media/uploads/p/l/40184549_3-tasties-premium-wafer-bites-tiramisu.jpg,100 g,Snacks & Branded Foods,Cream Biscuits & Wafers,https://www.bigbasket.com/pd/40184549/tasties-premium-wafer-bites-tiramisu-100-g/
Strawberry Green Tea,Teamonk,800.0,400.0,https://www.bigbasket.com/media/uploads/p/l/40222502_1-teamonk-green-tea-strawberry.jpg,150 g,Gourmet & World Food,Gourmet Tea & Tea Bags,https://www.bigbasket.com/pd/40222502/teamonk-green-tea-strawberry-150-g/
Apple Cinnamon Green Tea - Boosts Immunity,Teamonk,800.0,400.0,https://www.bigbasket.com/media/uploads/p/l/40222506_1-teamonk-green-tea-apple-cinnamon.jpg,150 g,Gourmet & World Food,Gourmet Tea & Tea Bags,https://www.bigbasket.com/pd/40222506/teamonk-green-tea-apple-cinnamon-150-g/
Organic Barley,BB Royal,25.0,22.0,https://www.bigbasket.com/media/uploads/p/l/40077432_8-bb-royal-organic-barley.jpg,200 g,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40077432/bb-royal-organic-barley-200-g/
Organic Barley,BB Royal,119.0,95.0,https://www.bigbasket.com/media/uploads/p/l/40176440_4-bb-royal-organic-barley.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40176440/bb-royal-organic-barley-1-kg/
Organic Barley,BB Royal,60.0,45.0,https://www.bigbasket.com/media/uploads/p/l/40125917_8-bb-royal-organic-barley.jpg,500 g,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40125917/bb-royal-organic-barley-500-g/
