id,createdAt,updatedAt,product_name,brand,price,discount_price,img_url,quantity,category,sub_category,absolute_url
fadcb58a-8dde-4c46-b4c3-71f2fb6799f4,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Cardamom Green/Elakki,BB Royal,225,127,https://www.bigbasket.com/media/uploads/p/l/40072499_13-bb-royal-organic-cardamomelachi-green.jpg,50 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40072499/bb-royal-organic-cardamomelachi-green-50-g/
5a5503e5-762d-4bc0-b14a-1a64f7787ae0,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Organic - Cardamom Green/Elakki,BB Royal,449,249,https://www.bigbasket.com/media/uploads/p/l/40203900_1-bb-royal-organic-cardamom-green.jpg,100 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40203900/bb-royal-organic-cardamom-green-100-g/
672d9d4b-9cbc-4290-92c0-0f4db0991622,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Organic - Cardamom Green/Elakki,BB Royal,130,53,https://www.bigbasket.com/media/uploads/p/l/40093899_7-bb-royal-organic-cardamomelachi-green.jpg,20 g,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40093899/bb-royal-organic-cardamomelachi-green-20-g/
ac06003c-a714-42e0-8a01-c139b081650d,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Curry Leaves,Fresho,15.71,5.5,https://www.bigbasket.com/media/uploads/p/l/10000104_17-fresho-curry-leaves.jpg,100 g,Fruits & Vegetables,Indian & Exotic Herbs,https://www.bigbasket.com/pd/10000104/fresho-curry-leaves-100-g/
d5126175-8fad-477c-9d10-6c6fa97e7fa7,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Curry Leaves,Fresho,39.29,13,https://www.bigbasket.com/media/uploads/p/l/10000105_16-fresho-curry-leaves.jpg,250 g,Fruits & Vegetables,Indian & Exotic Herbs,https://www.bigbasket.com/pd/10000105/fresho-curry-leaves-250-g/
11ad6d72-123b-47c7-9148-f87e34f5e55d,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Curry Leaves,Fresho,157.14,51,https://www.bigbasket.com/media/uploads/p/l/10000327_13-fresho-curry-leaves.jpg,1 kg,Fruits & Vegetables,Indian & Exotic Herbs,https://www.bigbasket.com/pd/10000327/fresho-curry-leaves-1-kg/
046ecc37-8f59-47e2-af4e-571e6a22b274,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Bitter Gourd (Loose),Fresho,79.22,47,https://www.bigbasket.com/media/uploads/p/l/10000048_21-fresho-bitter-gourd.jpg,1 kg,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/10000048/fresho-bitter-gourd-1-kg/
a13a8bc0-39d7-4a37-be63-fa3ba9ab5159,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Bitter Gourd (Loose),Fresho,39.61,23.5,https://www.bigbasket.com/media/uploads/p/l/10000049_20-fresho-bitter-gourd.jpg,500 g,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/10000049/fresho-bitter-gourd-500-g/
ca6ed294-d594-4a79-891f-cce95dd79d55,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,Soft-Light Moisturising Cream,Nivea,1197,796,https://www.bigbasket.com/media/uploads/p/l/1212184_2-nivea-soft-light-moisturising-cream.jpg,3x300 ml,Beauty & Hygiene,Body Care,https://www.bigbasket.com/pd/1212184/nivea-soft-light-moisturising-cream-3x300-ml/
2504bde4-9a1f-4fa9-8c6a-6f9ec6f37580,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,"Soft Light Moisturizer - With Vitamin E & Jojoba Oil, For Face, Hand & Body, Instant Hydration, Non-greasy Cream",Nivea,90,75,https://www.bigbasket.com/media/uploads/p/l/263114_5-nivea-soft-light-moisturising-cream.jpg,50 ml,Beauty & Hygiene,Face Care,https://www.bigbasket.com/pd/263114/nivea-soft-light-moisturising-cream-50-ml/
90670272-4d63-47a2-8270-2c7f6fe057ec,2024-11-17T20:36:29.476634,2024-11-17T20:36:29.476634,"Soft Light Moisturizer - With Vitamin E & Jojoba Oil, For Face, Hand & Body, Instant Hydration, Non-greasy Cream",Nivea,399,279.3,https://www.bigbasket.com/media/uploads/p/l/314931_6-nivea-soft-light-moisturiser-for-face-hand-body-non-sticky-cream-with-vitamin-e-jojoba-oil.jpg,300 ml,Beauty & Hygiene,Face Care,https://www.bigbasket.com/pd/314931/nivea-soft-light-moisturiser-for-face-hand-body-non-sticky-cream-with-vitamin-e-jojoba-oil-300-ml/
